#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
413,WormadamPlant Cloak,7,12,424,60,59,85,79,105,36,4,False
413,WormadamSandy Cloak,7,5,424,60,79,105,59,85,36,4,False
413,WormadamTrash Cloak,7,9,424,60,69,95,69,95,36,4,False
414,Mothim,7,3,424,70,94,50,94,50,66,4,False
415,Combee,7,3,244,30,30,42,30,42,70,4,False
416,Vespiquen,7,3,474,70,80,102,80,102,40,4,False
417,Pachirisu,13,0,405,60,45,70,45,90,95,4,False
418,Buizel,11,0,330,55,65,35,60,30,85,4,False
419,Floatzel,11,0,495,85,105,55,85,50,115,4,False
420,Cherubi,12,0,275,45,35,45,62,53,35,4,False
421,Cherrim,12,0,450,70,60,70,87,78,85,4,False
422,Shellos,11,0,325,76,48,48,57,62,34,4,False
423,Gastrodon,11,5,475,111,83,68,92,82,39,4,False
424,Ambipom,1,0,482,75,100,66,60,66,115,4,False
425,Drifloon,8,3,348,90,50,34,60,44,70,4,False
426,Drifblim,8,3,498,150,80,44,90,54,80,4,False
427,Buneary,1,0,350,55,66,44,44,56,85,4,False
428,Lopunny,1,0,480,65,76,84,54,96,105,4,False
428,LopunnyMega Lopunny,1,2,580,65,136,94,54,96,135,4,False
429,Mismagius,8,0,495,60,60,60,105,105,105,4,False
430,Honchkrow,17,3,505,100,125,52,105,52,71,4,False
431,Glameow,1,0,310,49,55,42,42,37,85,4,False
432,Purugly,1,0,452,71,82,64,64,59,112,4,False
433,Chingling,14,0,285,45,30,50,65,50,45,4,False
434,Stunky,4,17,329,63,63,47,41,41,74,4,False
435,Skuntank,4,17,479,103,93,67,71,61,84,4,False
436,Bronzor,9,14,300,57,24,86,24,86,23,4,False
437,Bronzong,9,14,500,67,89,116,79,116,33,4,False
438,Bonsly,6,0,290,50,80,95,10,45,10,4,False
439,Mime Jr.,14,18,310,20,25,45,70,90,60,4,False
440,Happiny,1,0,220,100,5,5,15,65,30,4,False
441,Chatot,1,3,411,76,65,45,92,42,91,4,False
442,Spiritomb,8,17,485,50,92,108,92,108,35,4,False
443,Gible,16,5,300,58,70,45,40,45,42,4,False
444,Gabite,16,5,410,68,90,65,50,55,82,4,False
445,Garchomp,16,5,600,108,130,95,80,85,102,4,False
445,GarchompMega Garchomp,16,5,700,108,170,115,120,95,92,4,False
446,Munchlax,1,0,390,135,85,40,40,85,5,4,False
447,Riolu,2,0,285,40,70,40,35,40,60,4,False
448,Lucario,2,9,525,70,110,70,115,70,90,4,False
448,LucarioMega Lucario,2,9,625,70,145,88,140,70,112,4,False
449,Hippopotas,5,0,330,68,72,78,38,42,32,4,False
450,Hippowdon,5,0,525,108,112,118,68,72,47,4,False
451,Skorupi,4,7,330,40,50,90,30,55,65,4,False
452,Drapion,4,17,500,70,90,110,60,75,95,4,False
453,Croagunk,4,2,300,48,61,40,61,40,50,4,False
454,Toxicroak,4,2,490,83,106,65,86,65,85,4,False
455,Carnivine,12,0,454,74,100,72,90,72,46,4,False
456,Finneon,11,0,330,49,49,56,49,61,66,4,False
457,Lumineon,11,0,460,69,69,76,69,86,91,4,False
458,Mantyke,11,3,345,45,20,50,60,120,50,4,False
459,Snover,12,15,334,60,62,50,62,60,40,4,False
460,Abomasnow,12,15,494,90,92,75,92,85,60,4,False
460,AbomasnowMega Abomasnow,12,15,594,90,132,105,132,105,30,4,False
461,Weavile,17,15,510,70,120,65,45,85,125,4,False
462,Magnezone,13,9,535,70,70,115,130,90,60,4,False
463,Lickilicky,1,0,515,110,85,95,80,95,50,4,False
464,Rhyperior,5,6,535,115,140,130,55,55,40,4,False
465,Tangrowth,12,0,535,100,100,125,110,50,50,4,False
466,Electivire,13,0,540,75,123,67,95,85,95,4,False
467,Magmortar,10,0,540,75,95,67,125,95,83,4,False
468,Togekiss,18,3,545,85,50,95,120,115,80,4,False
469,Yanmega,7,3,515,86,76,86,116,56,95,4,False
470,Leafeon,12,0,525,65,110,130,60,65,95,4,False
471,Glaceon,15,0,525,65,60,110,130,95,65,4,False
472,Gliscor,5,3,510,75,95,125,45,75,95,4,False
473,Mamoswine,15,5,530,110,130,80,70,60,80,4,False
474,Porygon-Z,1,0,535,85,80,70,135,75,90,4,False
475,Gallade,14,2,518,68,125,65,65,115,80,4,False
475,GalladeMega Gallade,14,2,618,68,165,95,65,115,110,4,False
476,Probopass,6,9,525,60,55,145,75,150,40,4,False
477,Dusknoir,8,0,525,45,100,135,65,135,45,4,False
478,Froslass,15,8,480,70,80,70,80,70,110,4,False
479,Rotom,13,8,440,50,50,77,95,77,91,4,False
479,RotomHeat Rotom,13,10,520,50,65,107,105,107,86,4,False
479,RotomWash Rotom,13,11,520,50,65,107,105,107,86,4,False
479,RotomFrost Rotom,13,15,520,50,65,107,105,107,86,4,False
479,RotomFan Rotom,13,3,520,50,65,107,105,107,86,4,False
479,RotomMow Rotom,13,12,520,50,65,107,105,107,86,4,False
480,Uxie,14,0,580,75,75,130,75,130,95,4,True
481,Mesprit,14,0,580,80,105,105,105,105,80,4,True
482,Azelf,14,0,580,75,125,70,125,70,115,4,True
483,Dialga,9,16,680,100,120,120,150,100,90,4,True
484,Palkia,11,16,680,90,120,100,150,120,100,4,True
485,Heatran,10,9,600,91,90,106,130,106,77,4,True
486,Regigigas,1,0,670,110,160,110,80,110,100,4,True
487,GiratinaAltered Forme,8,16,680,150,100,120,100,120,90,4,True
487,GiratinaOrigin Forme,8,16,680,150,120,100,120,100,90,4,True
488,Cresselia,14,0,600,120,70,120,75,130,85,4,False
489,Phione,11,0,480,80,80,80,80,80,80,4,False
490,Manaphy,11,0,600,100,100,100,100,100,100,4,False
491,Darkrai,17,0,600,70,90,90,135,90,125,4,True
492,ShayminLand Forme,12,0,600,100,100,100,100,100,100,4,True
492,ShayminSky Forme,12,3,600,100,103,75,120,75,127,4,True
493,Arceus,1,0,720,120,120,120,120,120,120,4,True
494,Victini,14,10,600,100,100,100,100,100,100,5,True
495,Snivy,12,0,308,45,45,55,45,55,63,5,False
496,Servine,12,0,413,60,60,75,60,75,83,5,False
497,Serperior,12,0,528,75,75,95,75,95,113,5,False
498,Tepig,10,0,308,65,63,45,45,45,45,5,False
499,Pignite,10,2,418,90,93,55,70,55,55,5,False
500,Emboar,10,2,528,110,123,65,100,65,65,5,False
501,Oshawott,11,0,308,55,55,45,63,45,45,5,False
502,Dewott,11,0,413,75,75,60,83,60,60,5,False
503,Samurott,11,0,528,95,100,85,108,70,70,5,False
504,Patrat,1,0,255,45,55,39,35,39,42,5,False
505,Watchog,1,0,420,60,85,69,60,69,77,5,False
506,Lillipup,1,0,275,45,60,45,25,45,55,5,False
507,Herdier,1,0,370,65,80,65,35,65,60,5,False
508,Stoutland,1,0,500,85,110,90,45,90,80,5,False
509,Purrloin,17,0,281,41,50,37,50,37,66,5,False
510,Liepard,17,0,446,64,88,50,88,50,106,5,False
511,Pansage,12,0,316,50,53,48,53,48,64,5,False
512,Simisage,12,0,498,75,98,63,98,63,101,5,False
513,Pansear,10,0,316,50,53,48,53,48,64,5,False
514,Simisear,10,0,498,75,98,63,98,63,101,5,False
515,Panpour,11,0,316,50,53,48,53,48,64,5,False
516,Simipour,11,0,498,75,98,63,98,63,101,5,False
517,Munna,14,0,292,76,25,45,67,55,24,5,False
518,Musharna,14,0,487,116,55,85,107,95,29,5,False
519,Pidove,1,3,264,50,55,50,36,30,43,5,False
520,Tranquill,1,3,358,62,77,62,50,42,65,5,False
521,Unfezant,1,3,488,80,115,80,65,55,93,5,False
522,Blitzle,13,0,295,45,60,32,50,32,76,5,False
523,Zebstrika,13,0,497,75,100,63,80,63,116,5,False
524,Roggenrola,6,0,280,55,75,85,25,25,15,5,False
525,Boldore,6,0,390,70,105,105,50,40,20,5,False
526,Gigalith,6,0,515,85,135,130,60,80,25,5,False
527,Woobat,14,3,313,55,45,43,55,43,72,5,False
528,Swoobat,14,3,425,67,57,55,77,55,114,5,False
529,Drilbur,5,0,328,60,85,40,30,45,68,5,False
530,Excadrill,5,9,508,110,135,60,50,65,88,5,False
531,Audino,1,0,445,103,60,86,60,86,50,5,False
531,AudinoMega Audino,1,18,545,103,60,126,80,126,50,5,False
532,Timburr,2,0,305,75,80,55,25,35,35,5,False
533,Gurdurr,2,0,405,85,105,85,40,50,40,5,False
534,Conkeldurr,2,0,505,105,140,95,55,65,45,5,False
535,Tympole,11,0,294,50,50,40,50,40,64,5,False
536,Palpitoad,11,5,384,75,65,55,65,55,69,5,False
537,Seismitoad,11,5,509,105,95,75,85,75,74,5,False
538,Throh,2,0,465,120,100,85,30,85,45,5,False
539,Sawk,2,0,465,75,125,75,30,75,85,5,False
540,Sewaddle,7,12,310,45,53,70,40,60,42,5,False
541,Swadloon,7,12,380,55,63,90,50,80,42,5,False
542,Leavanny,7,12,500,75,103,80,70,80,92,5,False
543,Venipede,7,4,260,30,45,59,30,39,57,5,False
544,Whirlipede,7,4,360,40,55,99,40,79,47,5,False
545,Scolipede,7,4,485,60,100,89,55,69,112,5,False
546,Cottonee,12,18,280,40,27,60,37,50,66,5,False
547,Whimsicott,12,18,480,60,67,85,77,75,116,5,False
548,Petilil,12,0,280,45,35,50,70,50,30,5,False
549,Lilligant,12,0,480,70,60,75,110,75,90,5,False
550,Basculin,11,0,460,70,92,65,80,55,98,5,False
551,Sandile,5,17,292,50,72,35,35,35,65,5,False
552,Krokorok,5,17,351,60,82,45,45,45,74,5,False
553,Krookodile,5,17,519,95,117,80,65,70,92,5,False
554,Darumaka,10,0,315,70,90,45,15,45,50,5,False
555,DarmanitanStandard Mode,10,0,480,105,140,55,30,55,95,5,False
555,DarmanitanZen Mode,10,14,540,105,30,105,140,105,55,5,False
556,Maractus,12,0,461,75,86,67,106,67,60,5,False
557,Dwebble,7,6,325,50,65,85,35,35,55,5,False
558,Crustle,7,6,475,70,95,125,65,75,45,5,False
559,Scraggy,17,2,348,50,75,70,35,70,48,5,False
560,Scrafty,17,2,488,65,90,115,45,115,58,5,False
561,Sigilyph,14,3,490,72,58,80,103,80,97,5,False
562,Yamask,8,0,303,38,30,85,55,65,30,5,False
563,Cofagrigus,8,0,483,58,50,145,95,105,30,5,False
564,Tirtouga,11,6,355,54,78,103,53,45,22,5,False
565,Carracosta,11,6,495,74,108,133,83,65,32,5,False
566,Archen,6,3,401,55,112,45,74,45,70,5,False
567,Archeops,6,3,567,75,140,65,112,65,110,5,False
568,Trubbish,4,0,329,50,50,62,40,62,65,5,False
569,Garbodor,4,0,474,80,95,82,60,82,75,5,False
570,Zorua,17,0,330,40,65,40,80,40,65,5,False
571,Zoroark,17,0,510,60,105,60,120,60,105,5,False
572,Minccino,1,0,300,55,50,40,40,40,75,5,False
573,Cinccino,1,0,470,75,95,60,65,60,115,5,False
574,Gothita,14,0,290,45,30,50,55,65,45,5,False
575,Gothorita,14,0,390,60,45,70,75,85,55,5,False
576,Gothitelle,14,0,490,70,55,95,95,110,65,5,False
577,Solosis,14,0,290,45,30,40,105,50,20,5,False
578,Duosion,14,0,370,65,40,50,125,60,30,5,False
579,Reuniclus,14,0,490,110,65,75,125,85,30,5,False
580,Ducklett,11,3,305,62,44,50,44,50,55,5,False
581,Swanna,11,3,473,75,87,63,87,63,98,5,False
582,Vanillite,15,0,305,36,50,50,65,60,44,5,False
583,Vanillish,15,0,395,51,65,65,80,75,59,5,False
584,Vanilluxe,15,0,535,71,95,85,110,95,79,5,False
585,Deerling,1,12,335,60,60,50,40,50,75,5,False
586,Sawsbuck,1,12,475,80,100,70,60,70,95,5,False
587,Emolga,13,3,428,55,75,60,75,60,103,5,False
588,Karrablast,7,0,315,50,75,45,40,45,60,5,False
589,Escavalier,7,9,495,70,135,105,60,105,20,5,False
590,Foongus,12,4,294,69,55,45,55,55,15,5,False
591,Amoonguss,12,4,464,114,85,70,85,80,30,5,False
592,Frillish,11,8,335,55,40,50,65,85,40,5,False
593,Jellicent,11,8,480,100,60,70,85,105,60,5,False
594,Alomomola,11,0,470,165,75,80,40,45,65,5,False
595,Joltik,7,13,319,50,47,50,57,50,65,5,False
596,Galvantula,7,13,472,70,77,60,97,60,108,5,False
597,Ferroseed,12,9,305,44,50,91,24,86,10,5,False
598,Ferrothorn,12,9,489,74,94,131,54,116,20,5,False
599,Klink,9,0,300,40,55,70,45,60,30,5,False
600,Klang,9,0,440,60,80,95,70,85,50,5,False
601,Klinklang,9,0,520,60,100,115,70,85,90,5,False
602,Tynamo,13,0,275,35,55,40,45,40,60,5,False
603,Eelektrik,13,0,405,65,85,70,75,70,40,5,False
604,Eelektross,13,0,515,85,115,80,105,80,50,5,False
605,Elgyem,14,0,335,55,55,55,85,55,30,5,False
606,Beheeyem,14,0,485,75,75,75,125,95,40,5,False
607,Litwick,8,10,275,50,30,55,65,55,20,5,False
608,Lampent,8,10,370,60,40,60,95,60,55,5,False
609,Chandelure,8,10,520,60,55,90,145,90,80,5,False
610,Axew,16,0,320,46,87,60,30,40,57,5,False
611,Fraxure,16,0,410,66,117,70,40,50,67,5,False
612,Haxorus,16,0,540,76,147,90,60,70,97,5,False
613,Cubchoo,15,0,305,55,70,40,60,40,40,5,False
614,Beartic,15,0,485,95,110,80,70,80,50,5,False
615,Cryogonal,15,0,485,70,50,30,95,135,105,5,False
616,Shelmet,7,0,305,50,40,85,40,65,25,5,False
617,Accelgor,7,0,495,80,70,40,100,60,145,5,False
618,Stunfisk,5,13,471,109,66,84,81,99,32,5,False
619,Mienfoo,2,0,350,45,85,50,55,50,65,5,False
620,Mienshao,2,0,510,65,125,60,95,60,105,5,False
621,Druddigon,16,0,485,77,120,90,60,90,48,5,False
622,Golett,5,8,303,59,74,50,35,50,35,5,False
623,Golurk,5,8,483,89,124,80,55,80,55,5,False
624,Pawniard,17,9,340,45,85,70,40,40,60,5,False
625,Bisharp,17,9,490,65,125,100,60,70,70,5,False
626,Bouffalant,1,0,490,95,110,95,40,95,55,5,False
627,Rufflet,1,3,350,70,83,50,37,50,60,5,False
628,Braviary,1,3,510,100,123,75,57,75,80,5,False
629,Vullaby,17,3,370,70,55,75,45,65,60,5,False
630,Mandibuzz,17,3,510,110,65,105,55,95,80,5,False
631,Heatmor,10,0,484,85,97,66,105,66,65,5,False
632,Durant,7,9,484,58,109,112,48,48,109,5,False
633,Deino,17,16,300,52,65,50,45,50,38,5,False
634,Zweilous,17,16,420,72,85,70,65,70,58,5,False
635,Hydreigon,17,16,600,92,105,90,125,90,98,5,False
636,Larvesta,7,10,360,55,85,55,50,55,60,5,False
637,Volcarona,7,10,550,85,60,65,135,105,100,5,False
638,Cobalion,9,2,580,91,90,129,90,72,108,5,True
639,Terrakion,6,2,580,91,129,90,72,90,108,5,True
640,Virizion,12,2,580,91,90,72,90,129,108,5,True
641,TornadusIncarnate Forme,3,0,580,79,115,70,125,80,111,5,True
641,TornadusTherian Forme,3,0,580,79,100,80,110,90,121,5,True
642,ThundurusIncarnate Forme,13,3,580,79,115,70,125,80,111,5,True
642,ThundurusTherian Forme,13,3,580,79,105,70,145,80,101,5,True
643,Reshiram,16,10,680,100,120,100,150,120,90,5,True
644,Zekrom,16,13,680,100,150,120,120,100,90,5,True
645,LandorusIncarnate Forme,5,3,600,89,125,90,115,80,101,5,True
645,LandorusTherian Forme,5,3,600,89,145,90,105,80,91,5,True
646,Kyurem,16,15,660,125,130,90,130,90,95,5,True
646,KyuremBlack Kyurem,16,15,700,125,170,100,120,90,95,5,True
646,KyuremWhite Kyurem,16,15,700,125,120,90,170,100,95,5,True
647,KeldeoOrdinary Forme,11,2,580,91,72,90,129,90,108,5,False
647,KeldeoResolute Forme,11,2,580,91,72,90,129,90,108,5,False
648,MeloettaAria Forme,1,14,600,100,77,77,128,128,90,5,False
648,MeloettaPirouette Forme,1,2,600,100,128,90,77,77,128,5,False
649,Genesect,7,9,600,71,120,95,120,95,99,5,False
650,Chespin,12,0,313,56,61,65,48,45,38,6,False
651,Quilladin,12,0,405,61,78,95,56,58,57,6,False
652,Chesnaught,12,2,530,88,107,122,74,75,64,6,False
653,Fennekin,10,0,307,40,45,40,62,60,60,6,False
654,Braixen,10,0,409,59,59,58,90,70,73,6,False
655,Delphox,10,14,534,75,69,72,114,100,104,6,False
656,Froakie,11,0,314,41,56,40,62,44,71,6,False
657,Frogadier,11,0,405,54,63,52,83,56,97,6,False
658,Greninja,11,17,530,72,95,67,103,71,122,6,False
659,Bunnelby,1,0,237,38,36,38,32,36,57,6,False
660,Diggersby,1,5,423,85,56,77,50,77,78,6,False
661,Fletchling,1,3,278,45,50,43,40,38,62,6,False
662,Fletchinder,10,3,382,62,73,55,56,52,84,6,False
663,Talonflame,10,3,499,78,81,71,74,69,126,6,False
664,Scatterbug,7,0,200,38,35,40,27,25,35,6,False
665,Spewpa,7,0,213,45,22,60,27,30,29,6,False
666,Vivillon,7,3,411,80,52,50,90,50,89,6,False
667,Litleo,10,1,369,62,50,58,73,54,72,6,False
668,Pyroar,10,1,507,86,68,72,109,66,106,6,False
669,Flabébé,18,0,303,44,38,39,61,79,42,6,False
670,Floette,18,0,371,54,45,47,75,98,52,6,False
671,Florges,18,0,552,78,65,68,112,154,75,6,False
672,Skiddo,12,0,350,66,65,48,62,57,52,6,False
673,Gogoat,12,0,531,123,100,62,97,81,68,6,False
674,Pancham,2,0,348,67,82,62,46,48,43,6,False
675,Pangoro,2,17,495,95,124,78,69,71,58,6,False
676,Furfrou,1,0,472,75,80,60,65,90,102,6,False
677,Espurr,14,0,355,62,48,54,63,60,68,6,False
678,MeowsticMale,14,0,466,74,48,76,83,81,104,6,False
678,MeowsticFemale,14,0,466,74,48,76,83,81,104,6,False
679,Honedge,9,8,325,45,80,100,35,37,28,6,False
680,Doublade,9,8,448,59,110,150,45,49,35,6,False
681,AegislashBlade Forme,9,8,520,60,150,50,150,50,60,6,False
681,AegislashShield Forme,9,8,520,60,50,150,50,150,60,6,False
682,Spritzee,18,0,341,78,52,60,63,65,23,6,False
683,Aromatisse,18,0,462,101,72,72,99,89,29,6,False
684,Swirlix,18,0,341,62,48,66,59,57,49,6,False
685,Slurpuff,18,0,480,82,80,86,85,75,72,6,False
686,Inkay,17,14,288,53,54,53,37,46,45,6,False
687,Malamar,17,14,482,86,92,88,68,75,73,6,False
688,Binacle,6,11,306,42,52,67,39,56,50,6,False
689,Barbaracle,6,11,500,72,105,115,54,86,68,6,False
690,Skrelp,4,11,320,50,60,60,60,60,30,6,False
691,Dragalge,4,16,494,65,75,90,97,123,44,6,False
692,Clauncher,11,0,330,50,53,62,58,63,44,6,False
693,Clawitzer,11,0,500,71,73,88,120,89,59,6,False
694,Helioptile,13,1,289,44,38,33,61,43,70,6,False
695,Heliolisk,13,1,481,62,55,52,109,94,109,6,False
696,Tyrunt,6,16,362,58,89,77,45,45,48,6,False
697,Tyrantrum,6,16,521,82,121,119,69,59,71,6,False
698,Amaura,6,15,362,77,59,50,67,63,46,6,False
699,Aurorus,6,15,521,123,77,72,99,92,58,6,False
700,Sylveon,18,0,525,95,65,65,110,130,60,6,False
701,Hawlucha,2,3,500,78,92,75,74,63,118,6,False
702,Dedenne,13,18,431,67,58,57,81,67,101,6,False
703,Carbink,6,18,500,50,50,150,50,150,50,6,False
704,Goomy,16,0,300,45,50,35,55,75,40,6,False
705,Sliggoo,16,0,452,68,75,53,83,113,60,6,False
706,Goodra,16,0,600,90,100,70,110,150,80,6,False
707,Klefki,9,18,470,57,80,91,80,87,75,6,False
708,Phantump,8,12,309,43,70,48,50,60,38,6,False
709,Trevenant,8,12,474,85,110,76,65,82,56,6,False
710,PumpkabooAverage Size,8,12,335,49,66,70,44,55,51,6,False
710,PumpkabooSmall Size,8,12,335,44,66,70,44,55,56,6,False
710,PumpkabooLarge Size,8,12,335,54,66,70,44,55,46,6,False
710,PumpkabooSuper Size,8,12,335,59,66,70,44,55,41,6,False
711,GourgeistAverage Size,8,12,494,65,90,122,58,75,84,6,False
711,GourgeistSmall Size,8,12,494,55,85,122,58,75,99,6,False
711,GourgeistLarge Size,8,12,494,75,95,122,58,75,69,6,False
711,GourgeistSuper Size,8,12,494,85,100,122,58,75,54,6,False
712,Bergmite,15,0,304,55,69,85,32,35,28,6,False
713,Avalugg,15,0,514,95,117,184,44,46,28,6,False
714,Noibat,3,16,245,40,30,35,45,40,55,6,False
715,Noivern,3,16,535,85,70,80,97,80,123,6,False
716,Xerneas,18,0,680,126,131,95,131,98,99,6,True
717,Yveltal,17,3,680,126,131,95,131,98,99,6,True
718,Zygarde50% Forme,16,5,600,108,100,121,81,95,95,6,True
719,Diancie,6,18,600,50,100,150,100,150,50,6,True
719,DiancieMega Diancie,6,18,700,50,160,110,160,110,110,6,True
720,HoopaHoopa Confined,14,8,600,80,110,60,150,130,70,6,True
720,HoopaHoopa Unbound,14,17,680,80,160,60,170,130,80,6,True
721,Volcanion,10,11,600,80,110,120,130,90,70,6,True
